NDVI,SMI,LST,Distance,TWI,Slope,Class
0.1366365,0.2298583,33.06123997,584.1312866,12.2666969,4.2426405,No
0.1262647,0.2978759,32.0622857,3929.341309,6.7602243,13.0384045,No
0.162595,0.2921085,32.14698931,1063.13501,5.6330328,4,No
0.1675342,0.2405193,32.90466503,935.0662842,5.6330328,4.472136,No
0.1668861,0.2400679,32.91129454,3202.749756,5.6330328,5.6568542,No
0.1662654,0.2817954,32.2984548,1632.696533,5.0211453,8.2462111,No
0.1267737,0.2686583,32.49139703,3206.077393,6.7843256,4.472136,No
0.196862,0.2786764,32.34426376,1964.670654,6.7843256,5.6568542,No
0.2200254,0.3099549,31.8848847,1306.157227,7.7006164,3.1622777,No
0.1563222,0.261129,32.6019766,1032.608032,5.9796066,3.1622777,No
0.126552,0.2542478,32.70303821,4176.640625,4.6390958,5.6568542,No
0.1835376,0.2860178,32.23644202,1782.557739,11.042922,4.472136,No
0.1736488,0.2817881,32.29856361,1467.611694,8.5760851,4,No
0.2011791,0.2627162,32.57866618,1806.326172,10.5320959,3.1622777,No
0.2086895,0.3413511,31.4237785,1177.354248,6.7843256,7.2111025,No
0.1578665,0.2338866,33.00207746,1053.057617,5.6330328,3.1622777,No
0.1618342,0.2473831,32.80385778,1758.468018,5.3677187,5.8309517,No
0.1859864,0.2480741,32.79371085,2920.656494,5.9796066,3.1622777,No
0.1883681,0.2756328,32.38896345,2417.273193,11.2252436,4.472136,No
0.2030516,0.2519534,32.73673619,2600.040527,6.5493236,8.944272,No
0.1748086,0.2444536,32.84688324,2583.584229,9.4334841,6.3245554,No
0.1966028,0.2723479,32.4372084,2417.273193,5.1006775,7.6157732,No
0.1485094,0.2414463,32.89105059,3010.543701,7.0720077,4.2426405,No
0.1558355,0.2987202,32.04988613,1858.694336,11.6307087,4,No
0.151772,0.2409165,32.89883199,1503.499878,6.3788605,1.4142135,No
0.1650027,0.3056078,31.94872979,786.4108276,11.9183903,4.2426405,No
0.2156708,0.2627118,32.57873053,1964.670654,6.7843256,4,No
0.1881868,0.2815435,32.3021551,3330.060547,5.3677187,5.8309517,No
0.1564683,0.2268432,33.10552156,1847.185303,6.7316451,4.472136,No
0.1433558,0.2681749,32.49849642,584.1312866,11.3793936,4,No
0.1958511,0.2545335,32.69884301,2938.85376,5.6857133,12.7279224,No
0.1792235,0.2753601,32.39296843,1703.020752,5.3980312,5.6568542,No
0.2426111,0.2398206,32.91492725,3070.164307,5.8034964,11.3137083,No
0.205866,0.3106428,31.8747816,4112.321777,10.5320959,1.4142135,No
0.1416615,0.2266712,33.10804759,602.1087646,5.9796066,10.7703295,No
0.1572098,0.291541,32.15532554,3159.172852,5.1748877,7.6157732,No
0.2261484,0.2383119,32.93708509,3532.062744,5.8484244,7.2111025,No
0.1270461,0.2713154,32.45237233,4536.429199,15.4021912,4,No
0.1448387,0.2403331,32.90740024,1032.608032,7.180119,5.8309517,No
0.1257165,0.1642712,34.02449769,3330.060547,7.2347188,7.2111025,No
0.206951,0.2754692,32.39136602,1829.786011,4.9398856,8.944272,No
0.2126479,0.2793127,32.3349176,2354.708496,6.4377518,4,No
0.2028428,0.2726479,32.43280133,4257.551758,7.9356179,4.472136,No
0.1612131,0.2850364,32.25085557,1764.52124,10.5760622,5.0990195,No
0.160569,0.2506173,32.75635953,2978.496826,6.7843256,1.4142135,No
0.1626662,0.271145,32.45487523,2920.656494,5.7446046,8,No
0.1357896,0.2230418,33.16135173,3070.164307,4.8809943,9.4868326,No
0.2027097,0.3372964,31.48332892,1177.354248,7.5789428,4.472136,No
0.172724,0.2647052,32.54945482,1665.030273,6.1500697,8,No
0.2255157,0.2617375,32.5930394,888.282959,7.9326682,5.8309517,No
0.1859009,0.2684109,32.49502928,1986.261108,4.9398856,8.944272,No
0.1675676,0.2508147,32.75345935,2680.806152,5.7446046,11.0453606,No
0.1642103,0.2336764,33.00516442,935.0662842,5.9796066,3.1622777,No
0.1660454,0.2716511,32.44744145,1022.229736,10.5005674,5.6568542,No
0.1934033,0.2616974,32.59362917,2126.27002,13.6032486,3.1622777,No
0.1345012,0.2194995,33.213377,1552.35022,7.8302574,4.472136,No
0.1982525,0.2652345,32.54168081,2354.708496,6.8432169,1.4142135,No
0.1529141,0.2846544,32.25646582,2920.656494,7.9882984,4.2426405,No
0.1697994,0.2851861,32.24865819,1306.157227,7.8829379,4,No
0.1578222,0.30922,31.89567898,1572.821655,6.2735,5.0990195,No
0.1601599,0.2365946,32.96230579,3371.429443,5.1006775,7.6157732,No
0.1528208,0.2576499,32.65307265,3265.393066,6.2485337,12.083046,No
0.1366383,0.3359242,31.50348182,413.0431824,6.4377518,4,No
0.1300215,0.2335246,33.00739435,1847.185303,5.1552773,7.2111025,No
0.1576394,0.2373359,32.95141952,1986.261108,9.5631256,3.1622777,No
0.1690096,0.2647423,32.54890983,3097.823975,5.6330328,5.6568542,No
0.1594395,0.2812316,32.3067367,3242.454834,5.3677187,5.8309517,No
0.1860357,0.2924332,32.14222111,3650.820557,6.2735,9.0553856,No
0.1943365,0.2378828,32.94338636,1460.328247,9.8916292,3.1622777,No
0.1537381,0.2819321,32.29644845,1445.651123,6.6727538,3.1622777,No
0.1896876,0.2381381,32.93963732,2190.492188,5.9796066,5.8309517,No
0.2005158,0.2522286,32.73269447,2512.443604,6.0911784,4.2426405,No
0.1997557,0.2965617,32.08158756,1758.468018,8.4645128,3.1622777,No
0.154643,0.302399,31.99585699,3808.070068,6.1500697,8,No
0.1387265,0.2265573,33.10972084,1445.651123,5.6857133,7.6157732,No
0.1345682,0.2638425,32.56212435,2808.997315,7.9867573,9.0553856,No
0.2127028,0.313426,31.83390716,3697.255615,7.5789428,4.472136,No
0.1497626,0.2093957,33.36176753,2354.708496,4.8809943,9.4868326,No
0.2139158,0.2172561,33.24632455,1847.185303,11.6494875,3.1622777,No
0.1662722,0.2130672,33.30784594,2090.871826,6.6004629,5.0990195,No
0.159168,0.2988981,32.04727328,1758.468018,11.7360687,4,No
0.1814505,0.2515251,32.7430269,2224.305664,7.5363641,4,No
0.2046762,0.3066015,31.93413612,3945.5896,5.1552773,7.2111025,No
0.1909412,0.264873,32.54698999,1904.035034,5.3677187,7.2111025,No
0.1194969,0.2499894,32.76558096,2680.806152,5.3677187,5.8309517,No
0.1455564,0.2714526,32.45035693,888.282959,11.8841915,8.944272,No
0.1556386,0.2437567,32.85711911,2789.953125,6.3788605,8.485281,No
0.1797158,0.29577,32.0932149,1829.786011,7.1594782,5.6568542,No
0.1577706,0.2774256,32.36263354,2034.001831,10.1266308,1.4142135,No
0.1762412,0.2743514,32.40778372,1322.383423,6.7843256,4.2426405,No
0.1751649,0.2922086,32.14551952,1986.261108,8.0067759,5.8309517,No
0.1551724,0.2643335,32.55491328,1168.262573,7.0720077,4.2426405,No
0.1304786,0.2910358,32.16274509,979.6179199,9.1822205,7.0710678,No
0.1366216,0.203582,33.44715231,2354.708496,6.4377518,4,No
0.1907428,0.2549242,32.69310427,2684.780762,7.2936101,5.0990195,No
0.1623932,0.2403442,32.90723654,2612.314453,7.4774728,5.6568542,No
0.1582436,0.2473716,32.80402711,2644.766846,11.8313789,5.8309517,No
0.1676266,0.340116,31.44191879,1256.221802,15.4997139,2.8284271,No
0.1696733,0.2992555,32.0420248,744.6242065,11.3793936,4,No
0.1513648,0.2783337,32.34929666,1346.356079,15.4445887,3.1622777,No
0.1480733,0.253799,32.70963023,2920.656494,11.8313789,3.1622777,No
0.1583686,0.244092,32.85219427,3225.970459,6.1500697,8,No
0.0851038,0.2405099,32.90480343,2956.939209,5.1552773,7.2111025,No
0.1342429,0.3015416,32.00844936,979.6179199,5.5018506,5.0990195,No
0.19537,0.2652551,32.54137849,2612.314453,12.464242,4.472136,No
0.1374492,0.2987202,32.04988613,1858.694336,10.1266308,3.1622777,No
0.2656102,0.2760185,32.38329897,3685.70166,8.2948351,10.7703295,No
0.2050209,0.1616232,34.06338882,3421.658447,9.7497454,7.2111025,No
0.190678,0.2479604,32.79538066,2209.877686,5.7446046,8,No
0.1492766,0.248084,32.79356509,3333.260986,7.21837,9.4868326,No
0.1845172,0.2854653,32.24455658,1764.52124,7.4471602,7.2111025,No
0.180592,0.2551135,32.69032525,2090.871826,10.1266308,1.4142135,No
0.1452359,0.3087374,31.90276622,923.5926514,9.4334841,3.1622777,No
0.17215,0.3521816,31.26471462,4356.577637,6.1494451,13.3416643,No
0.0975126,0.2324507,33.02316627,3080.565674,5.6857133,4,No
0.1242146,0.2258795,33.11967523,2743.70752,6.6727538,3.1622777,No
0.3381619,0.257939,32.64882814,2880.217529,5.8680348,7.0710678,No
0.1492585,0.2819104,32.29676663,1652.17273,11.5129251,1.4142135,No
0.1982628,0.2726254,32.43313257,1782.557739,11.8313789,4.2426405,No
0.1249514,0.2224687,33.16976947,786.4108276,5.8680348,7.0710678,No
0.2046654,0.258581,32.63939864,2550.353516,6.4377518,5.0990195,No
0.1894136,0.2451257,32.83701177,826.0863647,11.042922,3.1622777,No
0.1468806,0.2475383,32.80157936,1847.185303,5.9796066,3.1622777,No
0.1805935,0.2518209,32.73868204,2716.367432,5.9796066,3.1622777,No
0.1695475,0.274887,32.3999176,2354.708496,7.1207976,7.0710678,No
0.1246457,0.2464965,32.81688047,2880.217529,6.8717961,5.8309517,No
0.2094231,0.2761726,32.3810358,2354.708496,5.1006775,8.944272,No
0.1399045,0.2230124,33.16178308,1572.821655,5.6857133,4.2426405,No
0.1115111,0.2571378,32.66059443,3097.823975,6.4377518,2,No
0.1660686,0.2686129,32.49206365,2632.644043,8.2821913,,No
0.1955851,0.2617867,32.59231712,2034.001831,4.9788666,13.0384045,No
0.2271598,0.3173267,31.77661782,786.4108276,18.9891148,5.6568542,No
0.1288409,0.2366301,32.96178505,526.5288086,6.4377518,5.8309517,No
0.1391117,0.29525,32.10085163,1053.057617,5.6330328,4.472136,No
0.1477035,0.2889894,32.19279912,3740.265137,7.8732662,7.6157732,No
0.1937896,0.2788556,32.34163177,1703.020752,10.1266308,3.1622777,No
0.1577411,0.2749596,32.39885139,1346.356079,6.8432169,4.2426405,No
0.1662702,0.2885937,32.19861051,979.6179199,8.7302361,1.4142135,No
0.1728665,0.3123561,31.84961885,2106.115234,5.1748877,5.8309517,No
0.1392903,0.2192618,33.2168676,3202.749756,11.2252436,1.4142135,No
0.1430213,0.2367223,32.96043088,851.510376,5.1006775,7.6157732,No
0.0769394,0.2731082,32.42604251,3972.522217,8.0471897,4,No
0.1974607,0.2585255,32.64021352,2512.443604,5.3980312,5.6568542,No
0.1723962,0.25797,32.64837223,1986.261108,5.6857133,4.2426405,No
0.1682364,0.2436943,32.85803528,4091.525879,7.6401839,7.2111025,No
0.1521238,0.2404958,32.90501035,1063.13501,5.6857133,4.2426405,No
0.1594895,0.2680939,32.49968612,3409.17041,8.2295113,4,No
0.1395943,0.267854,32.50320836,1204.217529,11.5129251,4.472136,No
0.1514201,0.2986347,32.05114133,730.1641235,10.8197784,1.4142135,No
0.1834526,0.3128431,31.84246704,3446.498291,5.1748877,7.0710678,No
0.1649089,0.2611068,32.60230286,2065.216065,12.1755047,4.472136,No
0.2149344,0.2825339,32.28760937,1665.030273,11.9984331,3.1622777,No
0.137134,0.2036356,33.44636445,2354.708496,8.5234051,4.472136,No
0.1558712,0.2918797,32.15035004,1948.320801,5.3980312,5.6568542,No
0.1965959,0.2791865,32.33677179,4257.551758,5.1552773,7.2111025,No
0.201288,0.2851426,32.24929565,1112.152832,7.4247923,5.8309517,No
0.159372,0.2503495,32.7602923,2664.848877,6.7316451,4.472136,No
0.1514217,0.2782179,32.35099673,413.0431824,9.9498987,7.0710678,No
0.1493943,0.2612847,32.59968974,1806.326172,6.7843256,1.4142135,No
0.1493184,0.261129,32.6019766,1022.229736,4.9398856,8.944272,No
0.2129559,0.4373287,30.01418391,2170.933838,5.9796066,3.1622777,No
0.1659556,0.4849765,29.31439558,2430.470459,5.3980312,5.6568542,No
0.1664296,0.3679456,31.03319436,2600.040527,13.1223631,5.8309517,No
0.2112032,0.4818726,29.35998089,2835.44458,11.8313789,4.472136,No
0.122291,0.4423045,29.94110682,2835.44458,12.10429,3.1622777,No
0.1839419,0.5224181,28.76450249,2377.242188,11.7360687,7.0710678,No
0.202454,0.4568008,29.72820416,1948.320801,5.6857133,4.2426405,No
0.1341067,0.4262343,30.177125,3294.650635,12.6951218,8.944272,No
0.1493842,0.4840026,29.32869975,2789.953125,5.1006775,7.6157732,No
0.2975245,0.4580868,29.70931731,2789.953125,9.7519379,4,No
0.1514088,0.4675874,29.56978463,2512.443604,7.1594782,5.8309517,No
0.152704,0.5051582,29.01799356,1870.132568,9.3492746,2.8284271,No
0.1977469,0.4809607,29.37337519,3080.565674,10.4339542,4.472136,No
0.1408046,0.4402588,29.97115129,3504.787598,6.7843256,1.4142135,No
0.1500351,0.5326517,28.61420476,3409.17041,6.8432169,4,No
0.2340942,0.4095923,30.42154037,3010.543701,5.7142925,11.4017544,No
0.1644056,0.5019764,29.06472273,2486.849365,4.8809943,9.4868326,No
0.1491688,0.5227479,28.75965809,2789.953125,5.3677187,5.8309517,No
0.1254549,0.4388954,29.99117422,2898.668701,11.6307087,3.1622777,No
0.1802024,0.5392829,28.51681488,2680.806152,18.0454426,4,No
0.1744698,0.5050484,29.0196055,3010.543701,11.2252436,5.8309517,No
0.1684783,0.5605072,28.20509845,2835.44458,7.4471602,4,No
0.1446168,0.5564616,28.26451516,2336.525147,13.4662199,6.3245554,No
0.1508309,0.4431283,29.92900767,2743.70752,6.1500697,8,No
0.247225,0.4446208,29.90708857,2632.644043,5.9796066,3.1622777,No
0.20181,0.5188468,28.81695264,2512.443604,11.7360687,3.1622777,No
0.1693175,0.5017653,29.0678238,2808.997315,9.3808041,7.0710678,No
0.1848358,0.5156643,28.86369277,2920.656494,6.7843256,8.2462111,No
0.1499904,0.5047154,29.0244966,2632.644043,11.7360687,5.6568542,No
0.1437536,0.4021982,30.53013621,2486.849365,11.9984331,1.4142135,No
0.144724,0.4876112,29.27570068,2512.443604,12.2666969,9.0553856,No
0.1426794,0.3777992,30.88847751,2808.997315,9.6175385,5.8309517,No
0.1307368,0.4256152,30.1862178,2684.780762,5.9796066,8,No
0.1796295,0.5189194,28.81588627,2898.668701,5.1552773,7.2111025,No
0.2595652,0.5571454,28.25447229,2680.806152,11.8313789,4.472136,No
0.1718023,0.5119463,28.91829775,2447.956055,10.2836714,5.6568542,No
0.1536098,0.4876765,29.2747413,3294.650635,6.4377518,4,No
0.1684282,0.5101262,28.94503012,2550.353516,12.377923,5.0990195,No
0.203653,0.5290756,28.666726,3206.077393,11.3793936,8,No
0.1813302,0.5252846,28.72240205,2233.872559,5.3677187,7.6157732,No
0.1610457,0.4743819,29.46999487,3281.679443,8.1424999,7.0710678,No
0.136345,0.5465419,28.4102035,2049.668213,5.6330328,4.472136,No
0.2228786,0.4816915,29.36264157,3242.454834,7.9255166,4.2426405,No
0.1243752,0.4700508,29.533605,1986.261108,10.1384897,3.1622777,No
0.2461399,0.5396001,28.51215613,3202.749756,5.6330328,1.4142135,No
0.2011027,0.4127811,30.37470786,2600.040527,5.6330328,4.472136,No
0.1233566,0.4937914,29.18493344,1665.030273,9.4334841,3.1622777,No
0.1519219,0.377804,30.88840606,2743.70752,6.0911784,2.8284271,No
0.1936928,0.5606569,28.20290005,2486.849365,5.6330328,3.1622777,No
0.1823392,0.5051721,29.01778907,2755.341797,11.2252436,11.3137083,No
0.13437,0.477376,29.4260212,3516.936035,12.4119463,4,No
0.1676117,0.4842975,29.32436693,1489.248413,6.6727538,7.0710678,No
0.2279112,0.4779871,29.41704707,2938.85376,11.9183903,5.0990195,No
0.2152032,0.4235468,30.21659585,3371.429443,5.3677187,5.8309517,No
0.1946774,0.5469391,28.40436877,1986.261108,6.4966435,5.6568542,No
0.1150927,0.4563093,29.73542203,3038.746094,6.1949978,3.1622777,No
0.1892003,0.4848352,29.31647051,3125.23877,5.6330328,4.472136,No
0.1486515,0.4919111,29.21254919,2755.341797,11.7360687,4.472136,No
0.3859465,0.5408072,28.49442743,2495.409912,11.9984331,6.3245554,No
0.1535163,0.443479,29.92385715,1776.565918,11.7360687,4,No
0.1446629,0.4600736,29.6801378,2909.68335,5.3980312,12.083046,No
0.1338616,0.4600206,29.68091472,2938.85376,13.0970459,1.4142135,No
0.1176471,0.4636376,29.62779396,2224.305664,11.9984331,4.2426405,No
0.1880342,0.4815182,29.36518661,2880.217529,5.7446046,3.1622777,No
0.1868778,0.4980265,29.12273479,2233.872559,12.377923,8,No
0.1217573,0.4016043,30.53885856,3330.060547,5.6857133,4.2426405,No
