POINT_X,POINT_Y,TWI,Slope,Distance,LST,NDVI,SMI,Classes
623892.3228,1391762.381,9.0241289,1.4142135,1552.35022,29.08477475,0.2112892,0.3172589,0
620769.1173,1392171.21,8.869978,3.1622777,3833.187744,26.36416707,0.1761996,0.4907007,0
623033.4832,1392150.318,15.7685385,4.472136,2395.116211,29.13759685,0.3125113,0.3138914,0
625025.0659,1392405.491,12.5245266,4.2426405,1053.057617,26.90937045,0.2161196,0.4559434,0
619815.2906,1388373.495,8.3410826,4,851.510376,24.56350953,0.0913695,0.6054946,0
620950.0941,1389489.938,6.6727538,6.3245554,2034.001831,24.24407998,0.3020776,0.6258587,0
618777.4893,1389744.919,5.6330328,4.472136,2495.409912,23.88757613,0.0801879,0.6485862,0
618413.7592,1388307.752,14.9407444,4,1552.35022,23.48648777,0.1625938,0.674156,0
620282.7387,1390385.37,7.4774728,4.472136,2774.623535,23.6859311,0.3292015,0.6614413,0
619796.5997,1389139.931,10.5320959,,1665.030273,23.70171055,0.2252352,0.6604353,0
620029.0027,1392362.866,5.3980312,5.6568542,4585.523438,25.92483196,0.0975839,0.5187088,0
620033.1284,1390448.558,10.8197784,4.2426405,2935.223389,27.81574541,0.3039448,0.398161,0
624085.3033,1392445.713,6.1500697,8,1703.020752,27.01397808,0.2129123,0.4492745,0
620884.1491,1389098.743,8.4526548,5.0990195,1572.821655,24.30032673,0.29496,0.6222728,0
623960.2204,1391506.938,5.6330328,4.472136,1346.356079,28.6747989,0.2309134,0.3433954,0
620382.9885,1390563.493,6.9470367,7.2111025,2924.304932,22.63946084,0.2125676,0.7281549,0
619150.0332,1390700.278,7.4774728,4.2426405,3265.393066,25.44650859,0.2027895,0.5492025,0
623845.5416,1391891.434,6.4966435,5.6568542,1652.17273,28.93340947,0.2742244,0.3269086,0
624028.6702,1390913.092,6.4377518,4,923.5926514,28.48066956,0.2032471,0.3557713,0
620241.1291,1391691.973,6.7843256,1.4142135,3932.053955,25.1468426,0.2902258,0.5683065,0
624024.7207,1392083.11,11.5129251,,1572.821655,31.24087309,0.1798692,0.1798053,0
621168.142,1390562.318,10.185523,4,2612.314453,27.92910029,0.265321,0.3909345,0
622804.6045,1391111.882,7.130899,4,1703.020752,28.68543889,0.1529412,0.342717,0
620791.8476,1388525.435,5.6857133,4.472136,979.6179199,23.9000033,0.190318,0.6477939,0
620204.8048,1390065.412,7.6316233,4.2426405,2486.849365,24.29653342,0.1606505,0.6225147,0
618854.7583,1388485.367,5.7446046,5.0990195,1346.356079,23.06876449,0.1733615,0.7007863,0
621172.5962,1391663.135,6.8432169,8,3216.039307,27.92936179,0.1854897,0.3909178,0
618926.0805,1389509.287,7.4774728,2,2170.933838,23.19068469,0.1942087,0.6930138,0
620017.0927,1389045.441,5.6857133,4.2426405,1489.248413,23.99510077,0.0695626,0.6417313,0
622262.8113,1392548.414,5.6857133,7.0710678,3202.749756,29.83581754,0.1866189,0.2693791,0
620529.8696,1389577.904,8.7767553,4.2426405,2065.216065,23.94771285,0.1347279,0.6447524,0
624183.4327,1390943.293,6.4377518,4,786.4108276,28.67539036,0.2406425,0.3433577,0
624239.6628,1391853.145,7.8829379,3.1622777,1346.356079,29.03183081,0.2236003,0.3206342,0
620946.6721,1389636.203,7.7397351,8,2170.933838,24.20043179,0.1890792,0.6286412,0
619301.7887,1390760.571,11.042922,3.1622777,3371.429443,27.12961017,0.270164,0.4419029,0
621064.7216,1392109.706,6.8432169,4.472136,3615.602783,28.30242955,0.3085081,0.3671343,0
623716.1913,1390268.972,10.7916584,1.4142135,584.1312866,28.58025676,0.1216745,0.3494225,0
618497.9594,1388250.8,6.6727538,3.1622777,1346.356079,23.19342587,0.1736599,0.692839,0
618295.7642,1389636.769,7.130899,4,2632.644043,24.467552,0.2170905,0.611612,0
620442.0385,1392051.826,5.1006775,7.2111025,3972.522217,26.12174891,0.0956724,0.5061551,0
624356.5862,1391214.614,11.8313789,4,826.0863647,30.04164792,0.3674333,0.2562572,0
619812.3653,1388383.759,5.2864594,6.3245554,851.510376,24.56350953,0.0974254,0.6054946,0
622687.7337,1392217.305,5.8680348,7.0710678,2820.362305,28.78188437,0.1356256,0.3365685,0
620877.6207,1389934.633,9.4334841,,2408.435059,23.35227001,0.1690141,0.6827125,0
624049.8544,1390323.003,9.4334841,3.1622777,619.5647583,28.4666265,0.2309134,0.3566666,0
620544.3102,1390733.712,6.7843256,1.4142135,3080.565674,28.74041226,0.1579084,0.3392124,0
622231.5723,1392240.056,5.1552773,7.2111025,3006.999756,29.02157876,0.234312,0.3212878,0
619956.9603,1391669.011,5.3677187,5.8309517,4099.336426,24.88858888,0.3544933,0.5847704,0
620186.245,1392102.234,4.1503963,19.6977158,4294.954102,26.31386951,0.2068039,0.4939072,0
620899.3385,1389681.232,10.5320959,,2126.27002,23.94950149,0.1204611,0.6446384,0
623211.8453,1392044.03,13.0444021,,2190.492188,27.82832842,0.1724813,0.3973588,0
624679.4222,1391341.473,6.7843256,5.6568542,786.4108276,28.57832527,0.1921049,0.3495457,0
621874.8903,1392273.253,6.0322866,5.0990195,3159.172852,27.89712047,0.1666078,0.3929732,0
622402.5214,1390572.584,8.5760851,1.4142135,1579.586426,27.67044487,0.2211667,0.407424,0
620378.0194,1388667.205,12.8674707,2.8284271,1032.608032,24.65924292,0.2509145,0.5993915,0
623588.076,1391076.183,10.8197784,,1385.388916,28.78423528,0.1894988,0.3364187,0
620150.4626,1389992.339,5.6857133,4.2426405,2341.084229,24.09271624,0.1735581,0.6355082,0
620083.4085,1392133.841,6.520648,11.0453606,4294.954102,25.66914821,0.1114126,0.5350089,0
618492.2338,1388424.395,5.8484244,5.0990195,1552.35022,24.14725567,0.2750774,0.6320313,0
621106.3519,1391301.612,5.6857133,4.2426405,2956.939209,29.13490761,0.1223128,0.3140629,0
618393.9954,1388287.855,10.0424223,4.472136,1552.35022,23.58781325,0.1868554,0.6676964,0
621026.5241,1391990.172,5.3677187,5.8309517,3516.936035,28.60836806,0.1542714,0.3476304,0
